Name,P1 - XYPlane.H11 [m],P2 - XYPlane.H3 [m],P3 - force oulet [N],P4 - pressure outlet [Pa],P5 - max velocity in body [m s^-1],P6 - velocity outlet [m s^-1],P7 - max pressure [Pa],P8 - max temp [K],P9 - min temp [K]
DP 0,0.683534077,0.248657,18.7035,-1218.52,868.559,569.131,7320.69,3054.5,285.815
DP 1,0.6200499451,0.248657,16.1768,-31.9119,1372.04,424.835,11279,2951.79,296.148
DP 2,0.5670278963,0.248657,16.6413,-76.0203,962.558,453.326,4676.32,3016.81,292.577
DP 3,0.5220532955,0.248657,15.9875,-34.6844,898.748,486.387,6987.7,2986.13,296.754
DP 4,0.4834013774,0.248657,17.0846,-0.0159755,1194.57,509.512,5968.42,2998.43,307.139
DP 5,0.4498072896,0.248657,16.5278,-92.6276,1148.97,496.141,6422.55,2994.4,298.445
DP 6,0.4203223696,0.248657,16.7527,-11.3115,1153.74,508.42,6981.6,2994.8,288.16
DP 7,0.3942211473,0.248657,16.8152,-18.7985,1155.94,516.491,7422.3,2994.45,299.082
DP 8,0.3709393472,0.248657,16.9033,-18.0122,1158.39,521.854,7796.66,2993.75,294.623
DP 9,0.3500314681,0.248657,16.5365,-34.1191,1033.16,513.31,8806.76,3005.81,294.573
DP 10,0.3311410897,0.248657,16.8157,-20.0978,1168.91,549.435,7976.88,3005.41,292.937
DP 11,0.3139796621,0.248657,18.1577,-132.847,961.628,518.704,11554.5,3001.67,296.728
DP 12,0.2983110806,0.248657,18.9268,-147.431,1021.37,530.037,10406.3,2990.61,294.486
DP 13,0.2839402843,0.248657,18.9953,-135.591,915.035,532.302,11619.4,2986.96,297.306
DP 14,0.2707047052,0.248657,18.8689,-93.7244,833.214,564.437,13719.1,3045.42,298.261
DP 15,0.2584677688,0.248657,20.5167,-3.5872,874.294,570.895,12096.4,2993.62,322.941
DP 16,0.248657,0.248657,21.749,0,846.314,595.661,12930.3,2990.78,361.481
DP 17,0.683534077,0.2987244169,11.7333,-201.883,943.553,406.78,17558.9,2979.18,278.613
DP 18,0.6200499451,0.2987244169,16.9116,-25.7116,1218.84,451.676,6828.55,3036.2,290.643
DP 19,0.5670278963,0.2987244169,17.5375,-488.529,1190.74,490.689,4309.38,2983.04,285.924
DP 20,0.5220532955,0.2987244169,16.2933,-116.721,1114.75,494.038,5278.19,2996.53,292.379
DP 21,0.4834013774,0.2987244169,16.5441,-37.6052,1023.05,494.405,5617.31,2994.87,293.651
DP 22,0.4498072896,0.2987244169,16.9375,-34.7401,1132.17,502.376,5737.99,2993.84,296.52
DP 23,0.4203223696,0.2987244169,16.6405,-35.2701,1135.42,503.311,5976.17,2996.32,297.916
DP 24,0.3942211473,0.2987244169,16.7094,-19.1371,1135.11,511.03,6382.8,2995.76,293.225
DP 25,0.3709393472,0.2987244169,16.8529,-17.902,1140.1,520.403,7006.75,2995.62,299.808
DP 26,0.3500314681,0.2987244169,16.8736,-15.1511,1146.26,529.571,7309.25,2993.39,294.606
DP 27,0.3311410897,0.2987244169,16.6,-21.8248,1051.53,516.656,8263.73,3000.79,288.789
DP 28,0.3139796621,0.2987244169,18.1255,-77.4001,816.135,541.217,12387.2,3097.47,298.756
DP 29,0.2987244169,0.2987244169,18.1571,-210.814,915.45,537.682,13075.2,3035.1,297.868
DP 30,0.683534077,0.2128524939,14.0285,-2.39297,783.015,428.856,16843.2,2978.56,771.539
DP 31,0.683534077,0.2128524939,14.2883,-0.48269,778.836,431.652,16772.2,2979.08,958.394
DP 32,0.6200499451,0.2128524939,16.4407,-790.749,1362.44,456.607,11397,2989.83,276.349
DP 33,0.5670278963,0.2128524939,16.591,-67.7163,1231.2,452.082,6637.49,3048.83,287.034
DP 34,0.5220532955,0.2128524939,20.0426,0,813.482,538.655,6013.71,2965.86,482.895
DP 35,0.4834013774,0.2128524939,18.9425,-1089.37,1191.43,528.965,3980.82,3020.82,265.041
DP 36,0.4498072896,0.2128524939,16.8286,-127.857,1144.67,510.09,7756.8,2996.85,294.664
DP 37,0.4203223696,0.2128524939,16.8652,-19.1504,1185.15,512.444,8056.8,3022,298.18
DP 38,0.3942211473,0.2128524939,16.7541,-35.8348,1165.86,515.946,8327.14,3000.91,298.63
DP 39,0.3709393472,0.2128524939,16.6196,-40.2791,1083.12,516.32,9422.08,3020.77,291.895
DP 40,0.3500314681,0.2128524939,16.7293,-20.2815,1179.21,543.957,8623.23,3008.88,264.238
DP 41,0.3311410897,0.2128524939,16.5629,-38.635,1077.01,522.77,10183.5,3008.07,296.076
DP 42,0.3139796621,0.2128524939,19.0013,-21.5115,972.914,545.456,10797.2,3001.37,301.99
DP 43,0.2983110806,0.2128524939,18.5384,-156.152,954.288,543.134,13807.6,3124.45,298.006
DP 44,0.2839402843,0.2128524939,19.0931,-147.641,886.626,558.128,13956.5,3041.6,299.178
DP 45,0.2707047052,0.2128524939,22.6836,0,890.34,618.82,12485.8,2997.67,438.395
DP 46,0.2584677688,0.2128524939,20.0989,-43.2412,868.092,568.349,13635.8,3002.83,299.88
DP 47,0.248657,0.2128524939,20.1613,-112.598,882.788,563.073,13342.7,2995.58,297.25
